,news
0,A ‘lifeline’ restored in Rayalaseema: Andhra minister hails FCRA nod for Rural Development Trust
1,"Strengthen security, monitoring of LPG supply chain: Centre to states, UTs"
2,"He killed comrade for wanting to surrender. Month later, Odisha’s top Maoist lays down arms himself"
3,"Jharkhand to Greater Noida via Ahmedabad – journey of a teenage girl ‘trafficked, confined by couple’"
4,West Asia conflict: PM Modi says India has adequate crude storage and arrangements for supplies despite ‘serious crisis’
5,"PM’s foreign policy a ‘universal joke’, says Rahul; Kharge seeks answers on energy crisis"
6,"Opposition demands all-party meet on Women’s Reservation Act amendment, seeks govt note"
7,Bihar’s heroin menace: Rs 69 lakh seizure exposes interstate network
8,"Papa Rao, Bastar’s last standing Naxal leader, set to surrender"
9,"Keeping seeds, feeding families: The quiet labour of women farmers"
10,How the Middle East war has brought MP’s basmati exports to a standstill
11,No refund if tickets cancelled less than 8 hours before scheduled journey: Railways revises seat booking rules
12,Kerala Weather Update: IMD issues yellow alert; Kerala braces for ‘hot and humid’ week
13,"Gold, Silver Rate Today, 24 March 2026 Live Updates: Gold jumps Rs 1,200 in Delhi after recent fall, silver flat"
14,"Gold Rate Today, March 24: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities"
15,‘Days of Royalty are Over’: Behind the explosive fallout between Tripura CM and the royal scion ahead of April polls
16,Rajasthan villagers spend night at collectorate as protest against cement plant intensifies
17,"After 48 years, Puri Jagannath temple’s Ratna Bhandar inventory starts: How ‘secret chambers’ will be audited"
18,"Fresh arrest in Bihar paper leak case, accused ‘transported 30 candidates’ in SUVs to Hazaribagh hotel"
19,Non-tribals can no longer contest polls for Garo hills council
20,"BJP seal on Election Commission letter in Kerala: ‘It is no secret,’ quips CPM; CEO calls it clerical error"
21,"They wanted to teach father, son ‘how to behave with police’: Behind brutal 2020 custodial killings in Tamil Nadu"
22,"Over half a dozen Navy warships in Gulf region, will escort Indian-flagged vessels when needed"
23,"Held by Iran last December, eight Indian sailors on way home"
24,Jaishankar speaks to Marco Rubio on ‘energy security concerns’
25,"Speedboat accident: Gautam Singhania back in India, families of two missing reach Maldives"
26,"Govt introduces Bill to amend Companies, LLP laws, refers it House panel amid Opp objections"
27,"People going back to firewood, every sector under pressure: Opposition"
28,Jharkhand Mukti Morcha releases list of 21 for Assam polls
29,"In letter to Sitharaman, Anil Ambani expresses willingness to repay dues, seeks panel to crystallise amount, timeline"
30,"Rs 8,585 crore in dues pending recovery in Chhattisgarh: CAG"
31,"PM silent about assault on Iran, his LS speech dialogue-baazi: Congress"
32,"BJP leader, J-K minister slam bid to drop topics on Sir Syed, Iqbal from Jammu University syllabus: ‘Intellectual vandalism’"
33,Tamil Nadu polls: BJP emerges with more tickets than last time as AIADMK walks a tightrope after 2024 disaster
34,"West Asia conflict dominates LS debate, Opp flags financial stress on households, govt defends growth-oriented policies"
35,Red Fort blast probe: Raids across J-K as NIA continues ‘efforts to unravel larger conspiracy’
36,"West Asia conflict: No contact from Kerala interns on ship anchored at Iran port for 24 days, families demand clarity"
37,"Manipur woman, CAPF personnel injured in separate firing incidents"
38,"Goa municipal councillor’s son accused of filming and circulating videos of minor girls, arrested"
39,"India’s first fully digitised Met observatory launched in Pune; paradigm shift, says IMD chief"
40,‘We are orphans’: BJP legislator hits out at party’s govt in Madhya Pradesh over ‘neglect’
41,Indian Railways clears final location survey for 191 km new line connecting Rajasthan and Haryana
42,"Crackdown on cattle smuggling intensifies in Odisha under BJP rule; cases, arrests spike"
43,"Will the war in the Gulf impact MRI services in India? No immediate panic, but if the conflict drags on, a crisis could emerge, say experts"
44,What first-ever analysis of Parliament questions on disability issues revealed
45,"Justice Ujjal Bhuyan calls for more tolerance for dissent, says some in judiciary ‘more loyal than the king’"
46,From Strait of Hormuz to dialogue and diplomacy: 5 takeaways from PM Modi’s Lok Sabha speech on West Asia conflict
47,No safe haven for terrorists in J&K anymore: LG Manoj Sinha
48,"Railways fences 16,398 km tracks for safe train operations; check zone-wise data"
49,Blast outside sarpanch residence in Jammu border village
50,"Gold Rate Today, March 23: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities"
51,Assam twist: BJP minister Nandita Garlosa jumps ship to Congress
52,Kerala polls: ‘Hindu MLA’ remarks by BJP’s Guruvayur candidate land him in trouble with election officials
53,Assam election: Rumblings of discontent among BJP leaders dropped for recent recruits from Congress
54,"How surprise field visits by Madhya Pradesh CM proved costly for top admin, police officers"
55,"Drop Jinnah, Sir Syed, Iqbal from Political Science syllabus: Jammu University panel after ABVP protest"
56,"On Bihar Diwas, PM Modi praises Nitish for state’s development"
57,"West Asia conflict: PM reviews mitigating measures planned, sets up team of key ministers"
58,"8,931 days: Union ministers, BJP chief hail Modi for becoming longest-serving head of elected govt"
59,28-year-old woman killed after ropeway cable snaps in Chhattisgarh
60,‘Criminalising lived realities’: Protests across India against Transgender Persons Amendment Bill
61,"Video of teacher caning student at Vedic school in Ujjain goes viral, police register case"
62,"Railways revises allowance rates for Loco Pilots, Guards and Firemen"
63,"‘No longer luxury, necessity for middle class’: Kejriwal urges Centre to regulate airfares amid West Asia conflict"
64,"Titagarh Rail Systems, BHEL to form JV for maintenance of Vande Bharat Sleeper trains"
65,"4 cops injured in RPG attack on commando post in Assam, ULFA(I) claims responsibility"
66,RITES secures LoA for maintenance of Indian Railways’ 1st high-speed test track
67,"Air India and Air India Express to operate 50 flights, Indigo issues travel advisory for passengers"
68,"‘It all happened in a minute’: An ‘illegal’ contract, a Rs 7,000 risk and 3 dead men in Raipur"
69,‘We wouldn’t have agreed if Biren was in power’: Kuki-Zo leaders come to the table as new Manipur CM extends olive branch
70,The private CCTV that helped Jammu police catch ‘Badaa Prince’ and gang sabotaging city surveillance
71,Beyond pilot projects: How Madhya Pradesh is turning AI into a governance powerhouse
72,Jinnah as a ‘leader of minorities’? Jammu University launches probe after protests over new syllabus
73,"Exclusive | Eight Indians, one war, a long way home: Survivors of the Skylight missile attack speak on life after the fire"
74,"PM Modi speaks with Iran President, flags attacks on energy infra, shipping lanes"
75,"Woman killed by partner, his associates in Bihar for refusing to engage in sexual acts with others"
76,Iran war: Flight operations in West Asia remain disrupted; Air India group to run 42 flights today
77,"Railways renovates 73-year-old bridge in Uttar Pradesh; to enhance train speed, cut travel time"
78,"Extends Eid, Nowruz greetings: PM speaks with Iran President, flags attacks on energy infra, shipping lanes"
79,Odisha seafarer stuck in Persian Gulf amid West Asia tensions; family appeals for safe return
80,Four bananas and a police complaint: Teacher and cook come to blows over mid-day meal dispute
81,Railways begins feasibility study to develop Talgaria station of Jharkhand as satellite terminal
82,"US eases Iran oil sale sanctions, Brent holds steady at $112; Check petrol, diesel prices in India today"
83,"BJP releases 3rd list of candidates for Kerala polls, announces 9 names for Puducherry election"
84,"Sadhu’s death triggers violence in Mathura; highway blocked, policemen attacked"
85,Govt to scrutinise all Jal Jeevan projects costing Rs 100 crore plus to prevent cost escalation seen in Phase 1
86,Man assaulted by ‘gau sevaks’ in Haridwar; 5 detained after video emerges
87,"Delhi-NCR wakes up to unusual fog, cool spell likely to continue; IMD forecasts rain, thunderstorms across North India"
88,"Year after stampede, Goa steps up Jatra safety with watchtowers, control room, multiple entry points"
89,How J-K Police helped 75-year-old UP woman find her family after 11 years
90,‘Block device IDs used in digital arrest .. detect and block harmful APKs’ Govt tells WhatsApp as it moves to tackle menace of digital arrest
91,"Another Indian killed in missile attack on Riyadh, toll up to six"
92,CAPF Bill set to be introduced in RS on March 23; mandates IPS dominance in leadership roles
93,Election Commission sets up 19 appellate tribunals for Bengal SIR appeals
94,Raymond Group Chairman Gautam Singhania injured in boat mishap in Maldives
95,EC sets up 19 appellate tribunals for Bengal SIR appeals
96,"‘We just want him back’: Ranchi man dies on ship near Dubai amid Strait of Hormuz closure, kin seek help to repatriate body"
97,"Days after Pak strike in Kabul, India sends medical aid to Afghanistan"
98,Why Shias in Rajasthan have decided to forgo Eid celebrations
99,Tooth extraction ‘leads’ to 35-year-old’s death: Jharkhand ‘dentist’ on the run as officials seal clinic
100,Why Shias in Rajasthan have decided to forgo Eid celebrations
101,Tooth extraction ‘leads’ to 35-year-old’s death: Jharkhand ‘dentist’ on the run as officials seal clinic
102,"Insta friendship, instant death, and lingering questions in a Bihar village"
103,"Indian national killed in Saudi Arabia due to ‘recent events of March 18’, says embassy"
104,"Indian Railways’ RailOne App to integrate with Bharat Taxi, to provide last-mile connectivity from New Delhi station"
105,"No child will study hungry: Telangana budget promises free breakfast in schools, ₹5 lakh universal insurance"
106,"New Delhi railway station to get AI cameras, QR code-based entry system to enhance safety, ease rush"
107,"Udaipur-Asarva Vande Bharat train gets new stoppage – check station, timings"
108,Shivraj Singh Chouhan reviews crop situation amid fears of unseasonal rain affecting wheat target
109,No shortage: Govt says domestic LPG production up 40% amid Iran war
110,"No Detailed Project Report received on Kerala’s Thiruvananthapuram-Kasaragod Rapid Rail project, says Centre"
111,"Brent crude prices dips to $109: Check city-wise petrol, diesel, LPG prices in India"
112,Mumbai-Ahmedabad bullet train stations to get Multi-Modal connectivity
113,US EXIM announces USD 10 billion support to Essar’s Mesabi Metallics
114,‘Will work to make Gaurav CM’: A broken alliance is back on track in Assam as two Gogois team up
